admin2_name,admin2_pcode,admin1_name,admin1_pcode,admin0_name,admin0_pcode,number_of_named_languages,main_language,main_language_share,Adasen,Agta,Agta-Dumagat,Agusan Manobo,Agutaynen,Akeanon,Alangan,Ata,Ata-Manobo,Ayangan Ifugao,Ayta language group,Bagobo/Tagabawa,Balangao,Baliwon/Ga'dang,Banao,Bantoanon,Belwang (N.Bontok dialect),Bikol,Binongan,Binukid,Bisaya/Binisaya,B'laan/Blaan language group,Bontok,Bugkalot/Ilongot,Buhid,Cagayanen,Capizeño,Cebuano,Chavacano,Cuyonon/Cuyonen,Davaweño,Dibabawon,Dumagat/Remontado,English,Gaddang,Giangan,Hanunuo,Higaonon,Hiligaynon Ilonggo,Ibaloi/Ibaloy,Ibanag,Ibatan,Ilianen Manobo,Ilocano,Iranun,Iraya,Isinai,Isnag,Itawis,Ivatan,Iwak/Iowak/Owak/I-wak,Jama Mapun,Kalagan,Kalanguya,Kalibugan/Kolibugan,Kalinga language group,Kamiguin,Kankanaey,Kapampangan,Karao,Karay-a,Kirenteken,Mabaka,Maeng,Maguindanao,Majokayong,Mamanwa,Mandaya,Manobo,Manobo-Cotabato,Mansaka,Maranao,Masadiit,Masbateño/Masbatenon,Matigsalog/Matigsalug,Molbog,Muyadan,Obo Manobo,Unspecified Sama language,Palawani,Palawano language group,Pangasinan/Panggalato,Paranan,Romblomanon,Sama Bangingi,Sama Laut,Sangil,Subanen/Subanon/Subanun,Surigaonon,Tadyawan,Tagakaulo,Tagalog,Tagbanua,Tagbanua Calamian,Tau-buid,Tausug,Tboli,Teduray,Tuwali,Waray,Yakan,Yogad,Zambal,Other languages,pop_total,pop_male,pop_female,literacy_all,literacy_male,literacy_female,language_data_yn,data_confidence,notes
PH101800000,Camiguin,Northern Mindanao (Region X),PH100000000,Philippines (the),PH,6,Bisaya/Binisaya,0.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767,0,0,0,0,0,0,0.222,0.001,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.001,88478,45050,43428,0.994,0.991,0.996,Y,High,
PH103500000,Lanao del Norte,Northern Mindanao (Region X),PH100000000,Philippines (the),PH,7,Bisaya/Binisaya,0.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.526,0,0,0,0,0,0,0.204,0,0,0,0,0,0,0,0,0,0.003,0.002,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.001,1019013,511318,507695,0.95,0.948,0.953,Y,High,
PH104200000,Misamis Occidental,Northern Mindanao (Region X),PH100000000,Philippines (the),PH,5,Bisaya/Binisaya,0.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.846,0,0,0,0,0,0,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.001,602126,305083,297043,0.938,0.926,0.951,Y,High,
PH104300000,Misamis Oriental,Northern Mindanao (Region X),PH100000000,Philippines (the),PH,7,Bisaya/Binisaya,0.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899,0,0,0,0,0,0,0.079,0,0,0,0,0,0.001,0,0,0,0.005,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0.001,1564459,798001,766458,0.986,0.984,0.988,Y,High,
PH112300000,Davao del Norte,Davao Region (Region XI),PH110000000,Philippines (the),PH,18,Bisaya/Binisaya,0.742,0,0,0,0,0,0,0,0.003,0.023,0,0,0,0,0,0,0,0,0,0,0,0.742,0,0,0,0,0,0,0.149,0.001,0,0.003,0.005,0,0,0,0,0,0,0.03,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0.001,0,0,0,0.001,0,0,0.002,0,0,0,0.002,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0.002,0,0,0,0.001,0,0,0,0.003,1016332,523719,492613,0.971,0.97,0.972,Y,High,
PH112400000,Davao del Sur,Davao Region (Region XI),PH110000000,Philippines (the),PH,22,Bisaya/Binisaya,0.679,0,0,0,0,0,0,0,0.003,0,0,0,0.004,0,0,0,0,0,0,0,0,0.679,0.03,0,0,0,0,0,0.153,0,0,0.005,0,0,0.001,0,0.001,0,0,0.007,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0.025,0,0,0.004,0,0,0.003,0,0,0.002,0.001,0,0,0,0,0,0,0,0.003,0,0,0,0.028,0.025,0,0,0,0.005,0,0,0,0,0,0,0,0.009,2265579,1150027,1115552,0.982,0.982,0.983,Y,Medium,Five provinces from Davao del Sur were seperated to form Davao Occidental province in 2013. Language data based on the 2010 census is therefore identical for each record. Other supporting data from the 2015 census describes new provinces correctly. Data confidence rating reduced.
PH112500000,Davao Oriental,Davao Region (Region XI),PH110000000,Philippines (the),PH,12,Bisaya/Binisaya,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0.087,0,0,0.142,0,0,0,0,0,0,0,0.002,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224,0.007,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.004,0,0,0,0.003,0,0,0,0,0,0,0,0.001,558958,290053,268905,0.96,0.958,0.963,Y,High,
PH118200000,Compostela Valley,Davao Region (Region XI),PH110000000,Philippines (the),PH,15,Bisaya/Binisaya,0.697,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.697,0,0,0,0,0,0,0.196,0,0,0.003,0.009,0,0,0,0,0,0,0.016,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0.001,0,0.034,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0.003,0,0,0,0.001,0,0,0,0.002,736107,386314,349793,0.977,0.975,0.979,Y,High,
PH118600000,Davao Occidental,Davao Region (Region XI),PH110000000,Philippines (the),PH,22,Bisaya/Binisaya,0.679,0,0,0,0,0,0,0,0.003,0,0,0,0.004,0,0,0,0,0,0,0,0,0.679,0.03,0,0,0,0,0,0.153,0,0,0.005,0,0,0.001,0,0.001,0,0,0.007,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0.025,0,0,0.004,0,0,0.003,0,0,0.002,0.001,0,0,0,0,0,0,0,0.003,0,0,0,0.028,0.025,0,0,0,0.005,0,0,0,0,0,0,0,0.009,316342,164131,152211,0.834,0.829,0.839,Y,Medium,Five provinces from Davao del Sur were seperated to form Davao Occidental province in 2013. Language data based on the 2010 census is therefore identical for each record. Other supporting data from the 2015 census describes new provinces correctly. Data confidence rating reduced.
PH124700000,Cotabato,Soccsksargen (Region XII),PH120000000,Philippines (the),PH,18,Hiligaynon Ilonggo,0.321,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0.091,0.004,0,0,0,0,0.001,0.213,0,0,0,0,0,0,0,0,0,0,0.321,0,0,0,0.005,0.048,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.002,0,0,0.22,0,0,0,0.023,0,0,0.003,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.019,0,0,0,0,0,0.001,0,0,0,0,0,0.009,1379747,707703,672044,0.946,0.948,0.943,Y,High,
